En,Hu
back,vissza
ball,labda
base,bázis
be,lenni
beauty,szépség
because,mivel
become,válik
bed,ágy
been,volt
before,előtt
began,megkezdődött
begin,kezdődik
behind,mögött
call,hívás
came,jött
can,tud
car,autó
care,gondoskodás
carefully,gondosan
carry,visz
centre,központ
certain,bizonyos
change,változás
check,jelölje be
child,gyermek
children,gyermekek
city,város
class,osztály
clear,egyértelmű
about,ról ről
act,törvény
actually,tulajdonképpen
add,add
after,után
again,újra
against,ellen
age,kor
ago,ezelőtt
air,levegő
all,összes
also,is
always,mindig
am,vagyok
among,között
an,egy
and,és
